lat,lon,z,time,anom
-52.5,222.5,0.0,2020-12-01,-0.18674332
-52.5,227.5,0.0,2020-12-01,-0.27435437
-52.5,232.5,0.0,2020-12-01,-0.37611982
-52.5,237.5,0.0,2020-12-01,-0.36893535
-52.5,242.5,0.0,2020-12-01,-0.41544038
-52.5,247.5,0.0,2020-12-01,-0.39042073
-52.5,252.5,0.0,2020-12-01,-0.33215043
-52.5,257.5,0.0,2020-12-01,-0.25842392
-52.5,262.5,0.0,2020-12-01,-0.21105894
-52.5,267.5,0.0,2020-12-01,-0.2016906
-52.5,272.5,0.0,2020-12-01,-0.2707799
-52.5,277.5,0.0,2020-12-01,-0.4138219
-52.5,282.5,0.0,2020-12-01,-0.53964835
-52.5,287.5,0.0,2020-12-01,-0.19569275
-52.5,292.5,0.0,2020-12-01,-0.14363751
-52.5,297.5,0.0,2020-12-01,-0.25061828
-52.5,302.5,0.0,2020-12-01,-0.07245424
-52.5,307.5,0.0,2020-12-01,0.026033184
-52.5,312.5,0.0,2020-12-01,0.16118687
-52.5,317.5,0.0,2020-12-01,0.3198835
-52.5,322.5,0.0,2020-12-01,0.25656095
-52.5,327.5,0.0,2020-12-01,0.1564341
-52.5,332.5,0.0,2020-12-01,0.008942539
-52.5,337.5,0.0,2020-12-01,-0.13749284
-52.5,342.5,0.0,2020-12-01,-0.2739014
-52.5,347.5,0.0,2020-12-01,-0.3638048
-52.5,352.5,0.0,2020-12-01,-0.42014125
-52.5,357.5,0.0,2020-12-01,-0.4628955
-47.5,2.5,0.0,2020-12-01,-0.37067792
-47.5,7.5,0.0,2020-12-01,-0.2404266
-47.5,12.5,0.0,2020-12-01,-0.25817955
-47.5,17.5,0.0,2020-12-01,-0.33631432
-47.5,22.5,0.0,2020-12-01,-0.491442
-47.5,27.5,0.0,2020-12-01,-0.5080329
-47.5,32.5,0.0,2020-12-01,-0.525509
-47.5,37.5,0.0,2020-12-01,-0.5282888
-47.5,42.5,0.0,2020-12-01,-0.61456156
-47.5,47.5,0.0,2020-12-01,-0.51434475
-47.5,52.5,0.0,2020-12-01,-0.41975448
-47.5,57.5,0.0,2020-12-01,-0.42027134
-47.5,62.5,0.0,2020-12-01,-0.31381926
-47.5,67.5,0.0,2020-12-01,-0.2172591
-47.5,72.5,0.0,2020-12-01,-0.111110225
-47.5,77.5,0.0,2020-12-01,-0.11471571
-47.5,82.5,0.0,2020-12-01,-0.033505194
